"Authors","Author full names","Author(s) ID","Title","Year","DOI","Link","Document Type","Source","EID"
"Hafenecker, J.; Bartels, D.; Kuball, C.-M.; Kreß, M.; Rothfelder, R.; Schmidt, M.; Merklein, M.","Hafenecker, Jan (57204825022); Bartels, Dominic (57214682315); Kuball, Clara Maria (56237021800); Kreß, Maximilian (57385564900); Rothfelder, Richard (57204795252); Schmidt, Michael P. (57205650028); Merklein, Marion (6603414114)","57204825022; 57214682315; 56237021800; 57385564900; 57204795252; 57205650028; 6603414114","Hybrid process chains combining metal additive manufacturing and forming – A review","2023","10.1016/j.cirpj.2023.08.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168244255&doi=10.1016%2Fj.cirpj.2023.08.002&partnerID=40&md5=b194b7523941fa0b83f2b1f4c4c81bb7","Review","Scopus","2-s2.0-85168244255"
"Mohanadas, H.P.; Nair, V.; Doctor, A.A.; Faudzi, A.A.M.; Tucker, N.; A.F., A.F.; Ramakrishna, S.; Saidin, S.; Jaganathan, S.K.","Mohanadas, Hemanth Ponnambalath (55793532800); Nair, Vivek (58832607300); Doctor, Akbar Abbas (58073435600); Faudzi, Ahmad Athif Mohd (26028861100); Tucker, Nick (8610084900); A.F., Ismail Fauzi Bin (7201548542); Ramakrishna, Seeram Anantha (57205523298); Saidin, Syafiqah (36968653900); Jaganathan, Saravana Kumar (56181612300)","55793532800; 58832607300; 58073435600; 26028861100; 8610084900; 7201548542; 57205523298; 36968653900; 56181612300","A Systematic Analysis of Additive Manufacturing Techniques in the Bioengineering of In Vitro Cardiovascular Models","2023","10.1007/s10439-023-03322-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165135985&doi=10.1007%2Fs10439-023-03322-x&partnerID=40&md5=6c04d27d14d725b0ccf2de0a8efda702","Review","Scopus","2-s2.0-85165135985"
"Hussain, S.A.I.; Kalita, R.; Mandal, U.K.","Hussain, Syed Abou Iltaf (57203371949); Kalita, Ranbir (57192554081); Mandal, Uttam Kumar (57213963173)","57203371949; 57192554081; 57213963173","A priority-based heuristic approach for solving flexible flow-shop with parallel machine scheduling in a fuzzy environment","2023","10.1007/s41066-023-00377-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151550098&doi=10.1007%2Fs41066-023-00377-y&partnerID=40&md5=09694bf8fe1015f7d0b7854983c95590","Review","Scopus","2-s2.0-85151550098"
"AlArifi, I.M.","AlArifi, Ibrahim M. (56725827500)","56725827500","A comprehensive review on advancements of elastomers for engineering applications","2023","10.1016/j.aiepr.2023.05.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162182885&doi=10.1016%2Fj.aiepr.2023.05.001&partnerID=40&md5=fbb09c01d7d71ae1dfd22e6228ab4c53","Review","Scopus","2-s2.0-85162182885"
"Zhou, Y.; Chen, J.; Liu, X.; Xu, J.","Zhou, Yufeng (57204767824); Chen, Jingbo (7501889343); Liu, Xuying (56573044200); Xu, Jianwei (56380700600)","57204767824; 7501889343; 56573044200; 56380700600","Three/Four-Dimensional Printed PLA Nano/Microstructures: Crystallization Principles and Practical Applications","2023","10.3390/ijms241813691","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172441639&doi=10.3390%2Fijms241813691&partnerID=40&md5=2d681d7905c0acec830042f2a274d6f3","Review","Scopus","2-s2.0-85172441639"
"Fang, J.; Cheang, B.; Lim, A.","Fang, Jianxin (56799526100); Cheang, Brenda (6603205855); Lim, Andrew (7202659054)","56799526100; 6603205855; 7202659054","Problems and Solution Methods of Machine Scheduling in Semiconductor Manufacturing Operations: A Survey","2023","10.3390/su151713012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170371404&doi=10.3390%2Fsu151713012&partnerID=40&md5=3dbc99fca1589d9405c15c7bb66b8d0d","Review","Scopus","2-s2.0-85170371404"
"Fortes, C.S.; Tenera, A.B.; Cunha, P.F.; Teixeira, J.P.","Fortes, Carlos S. (58478350200); Tenera, Alexandra B. (24344990300); Cunha, Pedro Filipe (8043202300); Teixeira, Jorge Pamies (57217628217)","58478350200; 24344990300; 8043202300; 57217628217","Engineering-to-order manufacturing: A criticality analysis of key challenges and solutions based on literature review","2023","10.14743/apem2023.2.466","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175576913&doi=10.14743%2Fapem2023.2.466&partnerID=40&md5=e7c7c10d3dff5a6fd325266f330728a7","Review","Scopus","2-s2.0-85175576913"
"Kovalenko, I.; Barton, K.; Moyne, J.; Tilbury, D.M.","Kovalenko, Ilya (57202491754); Barton, Kira L. (16416800000); Moyne, James R. (7004244575); Tilbury, Dawn M. (7003832110)","57202491754; 16416800000; 7004244575; 7003832110","Opportunities and Challenges to Integrate Artificial Intelligence Into Manufacturing Systems: Thoughts From a Panel Discussion [Opinion]","2023","10.1109/MRA.2023.3262464","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153401656&doi=10.1109%2FMRA.2023.3262464&partnerID=40&md5=cc0838c761b8b3f88e9edffc5520e6a0","Review","Scopus","2-s2.0-85153401656"
"Tan, L.; Kong, T.L.; Zhang, Z.; Metwally, A.S.M.; Sharma, S.; Sharma, K.P.; M Tag El Din, S.M.; Zimon, D.","Tan, Lingye (58876413100); Kong, Tiong Lee (57218251887); Zhang, Ziyang (59448870200); Metwally, Ahmed Sayed Mohammed (57300619000); Sharma, Shubham Sh (57211422917); Sharma, Kanta Prasad (57198346718); M Tag El Din, El Sayed (57925959400); Zimon, Dominik (56556951500)","58876413100; 57218251887; 59448870200; 57300619000; 57211422917; 57198346718; 57925959400; 56556951500","Scheduling and Controlling Production in an Internet of Things Environment for Industry 4.0: An Analysis and Systematic Review of Scientific Metrological Data","2023","10.3390/su15097600","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159271085&doi=10.3390%2Fsu15097600&partnerID=40&md5=ae8e06c076111c620472debbce92026f","Review","Scopus","2-s2.0-85159271085"
"Ravalji, J.M.; Raval, S.J.","Ravalji, Jaydeepsinh M. (57939613800); Raval, Shruti J. (57195149036)","57939613800; 57195149036","Review of quality issues and mitigation strategies for metal powder bed fusion","2023","10.1108/RPJ-01-2022-0008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140474931&doi=10.1108%2FRPJ-01-2022-0008&partnerID=40&md5=776d6f3a4f019923889a7e429aa118e2","Review","Scopus","2-s2.0-85140474931"
